ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
40,     0,     2,     2,     7,     3,     1,    10,     6,     0,     5,     2,     3,     4,     3,     6,     4,     5,     6,     2,     2
41,     5,     7,    10,     9,     0,     0,     4,     4,     8,     3,     3,     0,     0,     0,     2,     1,     2,     4,     9,     9
42,     8,     6,     2,     8,     9,     0,     3,     2,     6,     4,     6,     1,     4,     5,     2,     2,     4,     5,     4,     5
43,     6,    10,     7,     5,     1,     1,     5,     2,     5,     4,     3,     2,     1,     3,     2,     1,     4,     5,    10,     9
44,     5,     3,     1,     9,     4,     1,     8,     5,     1,     3,     1,     5,     4,     4,     6,     6,     8,     7,     5,     3
45,     7,    10,     1,     6,     8,     2,     5,     2,     5,     4,     5,     3,     1,     6,     4,     3,     1,     3,     6,     1
46,     7,     6,     6,     6,     0,     1,     4,     5,     7,     4,     5,     5,     2,     0,     1,     1,     2,     3,     8,     9
47,     6,     4,     9,     5,     0,     2,     2,     5,     8,     6,     3,     2,     2,     0,     0,     3,     2,     4,    10,     7
48,     6,     8,     3,     4,     6,     2,     5,     2,     5,     6,     7,     2,     3,     9,     2,     3,     1,     6,     7,     3
49,     8,     8,     1,     5,     4,     0,     5,     0,     5,     5,     9,     2,     2,     8,     3,     4,     4,     0,     4,     5
50,     1,     1,     0,     8,     3,     2,    10,     7,     2,     6,     2,     3,     4,     3,     9,     7,     9,     5,     2,     2
51,     2,     2,     2,     8,     2,     2,     8,     5,     1,     3,     0,     4,     1,     1,     5,     7,     8,     5,     5,     1
52,     4,     5,    10,     3,     0,     1,     7,     5,     8,     3,     2,     1,     2,     1,     2,     2,     2,     5,    10,     7
53,     3,     7,     9,     1,     2,     0,     3,     6,     5,     7,     2,     8,     8,     6,     2,     1,     7,     7,     0,     0
54,     8,     6,     0,     7,     7,     2,     4,     0,     6,     7,     6,     1,     1,     6,     3,     4,     2,     8,     5,     1
55,     0,     2,     2,     8,     3,     1,     9,     5,     1,     7,     0,     2,     5,     3,     7,     6,     7,     4,     5,     2
56,     7,     9,     3,     5,     7,     1,     2,     0,     6,     5,     7,     3,     3,     8,     4,     3,     1,     6,     7,     4
57,     1,     7,     8,     1,     3,     1,     0,     7,     4,     6,     1,     4,     7,     3,     2,     4,     6,     7,     0,     0
58,     1,     2,     3,     8,     3,     2,     7,     6,     2,     6,     2,     2,     5,     2,     8,     8,     6,     6,     4,     1
59,     3,     0,     1,     7,     1,     3,     7,     5,     2,     6,     3,     0,     3,     3,     6,     5,     7,     5,     7,     1
60,     9,     3,     2,     7,     3,     1,     6,     3,     5,     5,     6,     0,     2,     8,     5,     3,     2,     2,     5,     2
61,     3,     8,     8,     4,     0,     1,     1,     6,     6,     4,     1,     4,     9,     5,     4,     2,     6,     4,     1,     0
62,     3,     6,     9,     9,     0,     1,     6,     5,     7,     6,     3,     2,     0,     1,     5,     4,     4,     6,    10,    10
63,     0,     5,     1,    10,     3,     0,     6,     5,     1,     9,     0,     2,     4,     4,     7,     9,     7,     5,     4,     2
64,     2,     7,     8,     3,     3,     1,     0,     4,     4,     2,     2,     6,     8,     5,     2,     0,     8,     6,     0,     0
65,     7,     6,     2,     8,     8,     1,     5,     0,     4,     4,     9,     2,     4,     5,     4,     1,     2,     4,     9,     4
66,     8,     8,     0,     6,     8,     4,     5,     0,     5,     4,     5,     2,     1,     7,     5,     2,     5,     4,     6,     1
67,     7,     7,     1,     8,     8,     0,     5,     2,     6,     3,     4,     2,     3,     6,     2,     0,     2,     5,     4,     4
68,     3,     6,    10,     5,     1,     0,     4,     5,     7,     6,     4,     1,     1,     1,     1,     3,     3,     7,    10,    10
69,     2,     6,    10,     0,     1,     1,     1,     6,     4,     3,     3,     0,     9,     5,     5,     3,     8,     2,     0,     0
70,     2,     6,     7,     0,     1,     1,     1,     8,     4,     3,     4,     6,    10,     3,     5,     3,     7,     6,     0,     0
71,     4,     2,     4,     8,     3,     1,     9,     3,     3,     7,     1,     0,     6,     2,     7,     7,     4,     7,     2,     2
72,     4,     4,     2,     9,     4,     0,     5,     2,     5,     4,     6,     1,     3,     9,     1,     1,     2,     7,     4,     2
73,     6,     6,     9,     8,     0,     0,     4,     8,     8,     4,     2,     1,     0,     1,     0,     0,     4,     4,     9,     8
74,     8,     6,     1,     7,     6,     1,     4,     0,     4,     3,     7,     1,     4,     6,     2,     4,     2,     6,     3,     3
75,     3,     5,     9,     5,     0,     1,     4,     4,     7,     3,     4,     2,     0,     2,     3,     1,     2,     1,     9,     9
76,     4,     5,    10,     4,     0,     2,     6,     3,     7,     5,     6,     0,     1,     0,     3,     3,     1,     3,     9,     8
77,     4,     4,     8,     0,     0,     0,     0,     4,     6,     4,     2,     5,     8,     5,     5,     3,    10,     3,     1,     0
78,     2,    10,     9,     0,     1,     0,     3,     4,     5,     5,     2,     2,     9,     4,     3,     0,     7,     7,     0,     0
79,     5,     4,     9,     7,     0,     0,     3,     5,     7,     5,     1,     1,     0,     0,     0,     5,     3,     5,     9,     9
80,     7,     8,     0,    10,     4,     3,     6,     2,     3,     3,     5,     4,     4,     7,     1,     1,     2,     6,     4,     4
81,     1,     6,     8,     0,     0,     1,     0,     5,     3,     4,     4,     7,     9,     4,     3,     2,     7,     3,     2,     0
82,     7,     9,     3,     4,     8,     3,     4,     0,     7,     5,     7,     3,     2,     6,     0,     3,     3,     4,     4,     2
83,     8,     7,     2,     7,     4,     1,     3,     1,     4,     8,     6,     3,     2,     7,     4,     0,     3,     5,     6,     4
84,     1,     8,     8,     0,     1,     2,     1,     5,     6,     4,     3,     5,    10,     3,     3,     2,     4,     7,     0,     0
85,     1,     5,     7,     1,     1,     2,     3,     3,     4,     3,     0,     4,     9,     6,     4,     0,     9,     7,     0,     0
86,     5,     3,     1,     7,     1,     3,     8,     7,     1,     8,     2,     3,     0,     3,     6,     5,     8,     6,     7,     0
87,     2,     2,     3,     9,     2,     0,    10,     2,     1,     4,     1,     0,     2,     7,     7,     7,     8,     6,     7,     5
88,     5,     8,     9,     8,     0,     2,     7,     4,     8,     6,     2,     1,     1,     0,     1,     0,     2,     4,     8,     8
89,     5,     4,     7,     8,     0,     1,     6,     4,     6,     2,     4,     1,     3,     1,     1,     3,     2,     6,     9,    10
90,     4,     7,     9,     5,     0,     0,     3,     6,     9,     4,     0,     0,     1,     2,     6,     1,     2,     7,     9,     9
91,     7,     4,     9,     3,     0,     0,     2,     7,    10,     4,     3,     1,     1,     0,     4,     4,     0,     4,     9,     8
92,     2,     5,     8,     1,     3,     2,     1,     4,     6,     4,     2,     4,     8,     7,     1,     2,     9,     6,     0,     0
93,     8,     8,     2,     5,     9,     0,     3,     2,     5,     6,     5,     2,     2,     7,     3,     4,     5,     6,     5,     1
94,     3,     2,     2,     8,     1,     0,     6,     8,     0,     3,     1,     3,     1,     5,     9,     5,    10,     6,     7,     2
95,     2,     6,     9,     1,     1,     0,     1,     5,     7,     5,     3,     3,    10,     5,     4,     3,     7,     5,     1,     0
96,     6,     4,     1,     7,     6,     0,     6,     3,     5,     6,     5,     2,     1,     7,     2,     3,     2,     6,     5,     3
97,     3,     4,     0,     8,     1,     0,     9,     7,     0,     2,     3,     3,     5,     2,     5,     6,     7,     5,     2,     7
98,     3,     4,    10,     0,     0,     1,     1,     5,     2,     8,     1,     5,     9,     5,     3,     3,     8,     7,     1,     0
99,     4,     4,     7,     8,     0,     0,     5,     5,     9,     8,     3,     1,     0,     0,     0,     3,     2,     7,     9,    10
100,     3,     6,     9,     1,     1,     4,     1,     5,     5,     5,     4,     5,     8,     3,     2,     3,     5,     4,     0,     0
101,     2,     2,     0,     9,     3,     0,     9,     3,     1,     3,     0,     4,     6,     2,     6,     2,     7,     4,     7,     2
102,     2,     6,     9,     1,     0,     1,     1,     7,     4,     5,     2,     5,     8,     6,     5,     2,     8,     5,     0,     0
103,     4,     5,    10,     1,     1,     2,     3,     3,     7,     6,     0,     6,    10,     5,     2,     3,     7,     4,     1,     0
104,     3,     4,     1,     8,     3,     0,     9,     5,     2,     4,     1,     3,     4,     2,     8,     7,     6,     5,     5,     4
105,     4,     7,    10,     7,     0,     0,     4,     5,    10,     4,     2,     1,     3,     1,     1,     2,     1,     7,     7,     8
106,     4,     7,    10,     5,     1,     1,     3,     5,     9,     7,     3,     0,     2,     0,     3,     3,     1,     5,     9,     9
107,     4,     8,     9,     9,     1,     0,     3,     2,     9,     6,     1,     2,     2,     0,     1,     2,     3,     3,     7,    10
108,     5,     5,     9,     8,     0,     0,     2,     6,     6,     6,     2,     0,     2,     0,     2,     1,     2,     6,    10,     8
109,     5,     8,     8,     6,     0,     1,     7,     6,     8,     6,     3,     0,     1,     1,     1,     5,     2,     5,     8,    10
110,     3,     4,     3,     9,     4,     1,     8,     8,     2,     8,     2,     1,     7,     3,     5,     4,     7,     3,     4,     1
111,     5,     8,     7,     7,     0,     0,     7,     4,     7,     4,     3,     2,     3,     1,     4,     0,     2,     5,     6,    10
112,     6,     8,     8,     5,     0,     0,     4,     7,     8,     5,     3,     3,     2,     0,     0,     0,     3,     5,    10,    10
113,     8,     6,     7,     4,     0,     2,     6,     3,    10,     5,     2,     2,     0,     1,     1,     2,     2,     6,     7,    10
114,     3,     4,     4,     7,     6,     2,     7,     0,     6,     4,     5,     2,     2,     6,     0,     3,     2,     3,     4,     2
115,     3,     2,     8,     3,     1,     0,     0,     3,     6,     5,     0,     6,    10,     4,     2,     2,     7,     7,     0,     0
116,     5,     8,    10,     4,     0,     1,     4,     6,     7,     4,     2,     1,     0,     1,     1,     3,     3,     5,     8,     9
117,     7,     7,     1,     8,     7,     1,     4,     0,     3,     7,     5,     2,     4,     5,     2,     3,     3,     3,     7,     1
118,     0,     1,     1,     9,     2,     1,     9,     4,     1,     7,     1,     4,     6,     3,     7,     4,     7,     3,     5,     3
119,     1,     2,     4,     8,     5,     0,     9,     4,     0,     4,     1,     3,     3,     2,     6,     6,     8,     3,     5,     3
120,     3,     2,     3,     9,     2,     2,     9,     6,     0,     3,     2,     2,     3,     4,     9,     7,    10,     5,     8,     1
121,     1,     2,     1,     8,     0,     1,    10,     6,     0,     8,     1,     2,     7,     5,     5,     4,     7,     4,     6,     1
122,     0,     1,     1,     8,     4,     1,     9,     6,     2,     3,     0,     2,     5,     6,     6,     6,    10,     7,     5,     2
123,     8,     7,    10,     6,     0,     3,     7,     2,     9,     6,     2,     0,     0,     0,     3,     1,     4,     5,     8,    10
124,     6,     8,     1,     6,     4,     0,     5,     0,     3,     7,     6,     4,     2,     7,     2,     2,     5,     8,     4,     1
125,     2,     1,     0,     7,     1,     1,     7,     7,     4,     5,     0,     1,     3,     4,     7,     5,     7,     7,     4,     3
126,     3,     6,    10,     6,     0,     2,     2,     7,     7,     5,     4,     2,     2,     0,     1,     1,     3,     4,     9,     9
127,     1,     7,    10,     1,     1,     3,     1,     3,     5,     7,     2,     4,     9,     5,     4,     2,     6,     8,     0,     0
128,     0,     0,     2,     9,     1,     0,    10,     4,     1,     7,     1,     3,     4,     3,     5,     5,     7,     4,     6,     1
129,     3,     0,     2,    10,     3,     1,     8,     4,     0,     3,     1,     3,     4,     1,     7,     3,    10,     8,     5,     2
130,     9,     9,     0,     8,     4,     1,     3,     2,     6,     3,     6,     1,     2,     7,     1,     3,     1,     6,     6,     2
131,     0,     0,     2,     8,     3,     1,     7,     2,     0,     4,     2,     4,     2,     1,     7,     3,     9,     5,     6,     3
132,     1,     7,     7,     2,     2,     2,     1,     4,     5,     5,     1,     3,     9,     3,     1,     2,     4,     5,     0,     0
133,     2,     8,     9,     7,     0,     1,     3,     6,     8,     6,     1,     1,     1,     0,     2,     1,     1,     3,     9,    10
134,     4,     5,     8,     6,     0,     3,     4,     5,     7,     7,     4,     1,     2,     1,     3,     2,     0,     8,     9,     9
135,     1,     7,     8,     1,     2,     1,     2,     7,     7,     6,     5,     3,     9,     7,     5,     3,     9,     4,     0,     0
136,     6,     6,     1,     5,     6,     2,     4,     0,     4,     4,     5,     5,     2,     8,     2,     4,     2,     5,     6,     2
137,     2,     1,     2,     9,     4,     0,     9,     6,     1,     4,     1,     2,     2,     2,     7,     6,     7,     3,     6,     1
138,     3,     4,     2,     9,     6,     3,     7,     3,     0,     6,     1,     0,     5,     1,     4,     4,     4,     4,     4,     3
139,     0,     5,     2,     9,     1,     0,     9,     5,     0,     3,     3,     2,     2,     2,     7,     5,     3,     1,     5,     3
140,     2,     0,     2,     7,     2,     2,     9,     7,     2,     6,     2,     2,     6,     3,     7,     5,     9,     7,     6,     3
141,     2,     6,    10,     5,     0,     3,     8,     7,     7,     4,     1,     0,     1,     0,     3,     1,     1,     4,     8,     7
142,     1,     3,     3,     7,     3,     2,     9,     8,     1,     5,     1,     3,     5,     3,     8,     5,     7,     5,     6,     2
143,     2,     1,     1,     8,     1,     1,     6,     4,     1,     6,     1,     1,     3,     1,     7,     8,     7,     5,     6,     2
144,     4,     5,     1,     8,     1,     0,     9,     9,     1,     8,     2,     6,     3,     2,     8,     2,     6,     6,     6,     2
145,     8,     8,     1,     7,     7,     1,     4,     0,     4,     6,     8,     1,     3,     7,     5,     4,     1,     4,     8,     0
146,     4,     5,     9,     0,     1,     1,     2,     3,     6,     7,     0,     6,    10,     2,     3,     2,     7,     3,     1,     0
147,     2,     1,     0,     8,     3,     1,     9,     4,     3,     4,     2,     1,     3,     4,     7,     5,     5,     4,     3,     4
148,     6,     4,    10,     9,     0,     1,     6,     7,     6,     6,     1,     1,     0,     0,     3,     1,     4,     5,     7,    10
149,     9,     5,     2,     7,     8,     1,     1,     1,     9,     3,     6,     1,     2,     4,     4,     6,     0,     5,     7,     2
150,     2,     8,     9,     2,     0,     2,     2,     3,     7,     6,     0,     5,    10,     6,     5,     2,     7,     4,     1,     0
151,     8,     7,     1,     5,     7,     2,     3,     2,     6,     5,     6,     4,     2,     8,     2,     6,     3,     5,     9,     3
152,     4,     1,     2,     9,     3,     2,    10,     8,     1,     6,     2,     3,     3,     2,     5,     5,     4,     5,     5,     2
153,     5,     2,     3,     7,     3,     1,     8,     4,     2,     3,     2,     2,     4,     1,     9,     5,     4,     2,     6,     2
154,     7,     6,     1,     8,     7,     1,     2,     0,     3,     5,     5,     2,     4,     7,     3,     3,     5,     5,     4,     4
155,     1,     1,     2,     7,     3,     0,     9,     6,     1,     5,     1,     2,     4,     2,     4,     6,     6,     5,     5,     4
156,     9,     7,     1,     8,     5,     1,     4,     1,     4,     3,     5,     1,     4,     7,     0,     1,     1,     3,     4,     3
157,     2,     3,     2,     9,     3,     0,     8,     5,     0,     4,     0,     5,     5,     3,     7,     5,     7,     2,     5,     2
158,     7,     8,     8,     9,     0,     0,     4,     5,    10,     3,     5,     0,     1,     0,     2,     1,     1,     6,     7,     8
159,     7,     6,     9,     6,     0,     1,     7,     7,     7,     8,     2,     0,     1,     0,     3,     2,     0,     6,     9,     8
160,     6,     7,     3,     7,     7,     0,     3,     0,     4,     8,     5,     1,     1,     5,     1,     6,     1,     4,     4,     5
161,     3,     4,     9,     2,     1,     0,     3,     4,    10,     4,     3,     1,     1,     0,     1,     0,     1,     7,    10,    10
162,     3,     2,     3,     9,     3,     0,     7,     6,     0,     5,     1,     2,     1,     1,     8,     4,     8,     5,     5,     5
163,     4,     0,     0,     5,     1,     0,     8,     5,     1,     2,     4,     2,     3,     2,     6,     1,     8,     5,     4,     3
164,     2,     1,     1,     7,     2,     0,     9,     4,     0,     5,     4,     1,     3,     2,     6,     6,    10,     2,     7,     1
165,     7,     6,     0,     6,     6,     1,     3,     1,     5,     5,     8,     2,     1,     6,     2,     2,     2,     6,     5,     2
166,     1,     1,     1,     7,     2,     0,     6,     3,     0,     6,     0,     2,     3,     2,     6,     5,     7,     4,     6,     0
167,     7,     6,     2,     6,     7,     1,     3,     0,     7,     5,     7,     1,     1,     8,     2,     4,     4,     6,     7,     3
168,     3,     3,     1,     9,     2,     0,     9,     4,     0,     2,     3,     4,     4,     1,     8,     6,     6,     6,     5,     2
169,     1,     4,     8,     0,     2,     2,     1,     6,     7,     5,     2,     3,     9,     5,     3,     0,     7,     6,     1,     0
170,     2,     2,     3,     9,     3,     2,     9,     5,     1,     6,     2,     5,     2,     2,     7,     7,     6,     5,    10,     3
171,     7,     9,     2,     6,     4,     1,     6,     1,     5,     6,     7,     0,     5,     6,     3,     3,     1,     3,     3,     2
172,     8,     6,     2,     6,     8,     0,     1,     2,     3,     5,     8,     5,     5,     7,     1,     4,     1,     5,     4,     4
173,     5,     9,     8,     2,     3,     2,     3,     5,     5,     5,     2,     6,     9,     3,     2,     2,     7,     7,     0,     0
174,     8,    10,     2,     6,     7,     0,     4,     2,     6,     3,     7,     3,     3,     7,     3,     2,     1,     4,     4,     3
175,     7,     7,     1,     7,     6,     0,     5,     2,     6,     4,    10,     1,     4,     4,     1,     2,     2,     2,     4,     4
176,     9,     8,     0,     7,     5,     3,     5,     1,     7,     3,     5,     2,     2,     7,     3,     4,     3,     1,     6,     5
177,     4,     7,     9,     8,     0,     1,     5,     4,     9,     3,     2,     2,     0,     1,     1,     4,     1,     4,     7,    10
178,     4,     7,     9,     3,     0,     0,     3,     7,     9,     2,     4,     0,     1,     1,     3,     1,     0,     4,     5,     9
179,     2,     0,     1,     9,     5,     2,     9,     3,     0,     5,     5,     0,     2,     4,     4,     5,     6,     4,     4,     1
180,     5,     6,     9,     1,     1,     1,     0,     3,     6,     6,     2,     6,     8,     4,     3,     6,     6,     3,     0,     0
181,     4,     2,     2,    10,     0,     2,     7,     5,     2,     6,     1,     3,     6,     2,     4,     5,     7,     2,     3,     2
182,     2,     6,    10,     1,     0,     3,     1,     8,     5,     5,     1,     5,     9,     7,     1,     2,     8,     6,     2,     0
183,     3,     1,     1,     9,     1,     1,     8,     3,     2,     6,     1,     2,     2,     2,     8,     4,     5,     7,     6,     3
184,     4,     5,     9,     6,     1,     0,     4,     5,     9,     3,     2,     0,     1,     0,     4,     1,     2,     4,     6,     9
185,     7,     8,     0,     7,     7,     2,     3,     0,    10,     4,     5,     0,     2,     6,     2,     3,     3,     6,     5,     2
186,     2,     3,     4,     4,     4,     2,     9,     7,     2,     5,     1,     1,     2,     4,     6,     3,     6,     3,     7,     5
187,     1,     3,    10,     0,     0,     0,     0,     7,     6,     6,     4,     5,     9,     4,     6,     2,     6,     5,     1,     0
188,     6,     8,     8,     5,     0,     3,     4,     5,     8,     8,     1,     1,     2,     1,     4,     2,     3,     7,     7,    10
189,     8,     9,     0,     6,     7,     0,     4,     2,     5,     3,     7,     1,     3,     8,     0,     1,     2,     8,     3,     2
190,     4,     3,     8,     7,     1,     1,     4,     6,     6,     5,     4,     0,     1,     0,     4,     0,     0,     3,    10,     9
191,     8,     5,     9,     7,     1,     0,     8,     3,     8,     6,     3,     0,     2,     0,     2,     3,     1,     6,     8,    10
192,     2,     4,     6,     7,     2,     1,     9,     6,     2,     6,     3,     2,     6,     3,     6,     6,     8,     7,     4,     1
193,     9,     6,     2,     9,     7,     1,     2,     1,     6,     6,     5,     1,     1,     6,     2,     4,     4,     3,     3,     1
194,     2,     2,     2,     9,     3,     1,    10,     6,     1,     5,     1,     5,     4,     4,     5,     5,     9,     3,     6,     0
195,     2,     1,     0,     8,     4,     2,     8,     4,     0,     8,     1,     2,     5,     4,     7,     6,     9,     6,     5,     0
196,     7,     5,     9,     7,     0,     3,     6,     5,     9,     3,     2,     2,     1,     0,     2,     0,     0,     6,     9,     8
197,     7,     7,     0,     6,     7,     0,     3,     0,     3,     3,     7,     1,     3,     5,     4,     2,     2,     5,     7,     1
198,     2,     3,     3,     9,     3,     2,     6,     6,     0,     4,     2,     3,     4,     2,     7,     6,     8,     4,     3,     2
199,     3,     6,     8,     6,     0,     1,     6,     4,     7,     2,     5,     0,     3,     1,     1,     0,     3,     6,     9,     9
200,     1,     0,     1,     7,     1,     4,     7,     5,     2,     5,     2,     4,     4,     2,     6,     4,     6,     5,     7,     2
201,     9,     7,     2,     7,     5,     1,     3,     1,     6,     8,     9,     0,     6,     6,     7,     3,     2,     7,     5,     2
202,     1,     0,     2,     7,     1,     2,     7,     7,     2,     5,     0,     2,     6,     3,     7,     8,     5,     7,     4,     2
203,     0,     1,     3,     8,     1,     1,     8,     6,     0,     3,     1,     3,     6,     4,     8,     8,     7,     2,     6,     2
204,     1,     3,     3,     7,     2,     0,     7,     2,     1,     3,     3,     2,     5,     3,     6,     5,     9,     6,     5,     1
205,     8,     7,     0,     6,    10,     0,     5,     0,     5,     4,     5,     2,     3,     3,     3,     4,     1,     6,     3,     4
206,     2,     6,     8,     0,     1,     1,     1,     7,     4,     3,     2,     8,    10,     5,     2,     2,     7,     7,     2,     0
207,    10,     7,     3,     4,     7,     1,     2,     1,     5,     3,     8,     1,     2,     7,     2,     2,     5,     7,     6,     2
208,     2,     5,     8,     0,     1,     3,     1,     5,     5,     3,     1,     7,    10,     6,     3,     3,     9,     5,     0,     0
209,     6,     5,     9,     7,     0,     0,     4,     6,     9,     2,     3,     2,     1,     3,     5,     1,     6,     6,     8,    10
210,     3,     2,     1,     8,     4,     0,     7,     7,     1,     3,     1,     2,     6,     2,     6,     5,     6,     2,     5,     1
211,     7,     8,     1,     8,     7,     1,     3,     0,     8,     3,     4,     1,     4,     8,     3,     1,     5,     6,     3,     5
212,     1,     2,     1,     8,     3,     1,     9,     5,     1,     4,     3,     1,     6,     3,     6,     7,     8,     4,     4,     2
213,     4,     2,     1,     7,     3,     0,     7,     5,     0,     8,     5,     2,     5,     2,     7,     5,     7,     2,     9,     2
214,     8,     6,     0,     6,     4,     1,     2,     0,     6,     3,     7,     0,     4,     8,     3,     1,     2,     5,     4,     2
215,     5,     5,     8,     2,     0,     2,     2,     6,     4,     6,     1,     4,    10,     1,     2,     4,     8,     6,     1,     0
216,     2,     4,     9,     3,     0,     0,     7,     6,     9,     7,     2,     1,     0,     1,     0,     1,     1,     2,     9,     8
217,     4,     3,     8,     2,     2,     0,     0,     4,     5,     7,     4,     7,    10,     4,     1,     0,     8,     4,     1,     0
218,     5,     6,     9,     4,     0,     0,     3,     1,    10,     3,     2,     1,     1,     1,     2,     2,     1,     6,     8,     9
219,     3,     8,     8,     2,     0,     1,     2,     2,     6,     5,     3,     1,     0,     0,     2,     2,     4,     4,     9,     9
220,     5,     7,     8,     8,     0,     0,     1,     3,     8,     3,     2,     0,     1,     0,     2,     3,     3,     4,    10,    10
221,     3,     4,     1,     8,     2,     1,     6,     2,     0,     7,     2,     2,     4,     5,     4,     4,     7,     7,     5,     0
222,     8,     7,     2,     7,     7,     2,     4,     0,     6,     7,     6,     2,     1,     7,     2,     4,     1,     4,     4,     4
